orig_utt_id,aug_utt_id,spk_id,gender,condition,cos_clean_aug,embedding_drift
BAC009S0096W0157,BAC009S0096W0157_noise10,S0096,0,noise_snr10,0.6498439311981201,0.3501560688018799
BAC009S0096W0157,BAC009S0096W0157_ch8k,S0096,0,channel_8k,0.6503664255142212,0.3496335744857788
BAC009S0096W0308,BAC009S0096W0308_noise10,S0096,0,noise_snr10,0.5504918694496155,0.4495081305503845
BAC009S0096W0308,BAC009S0096W0308_ch8k,S0096,0,channel_8k,0.6526782512664795,0.3473217487335205
BAC009S0096W0361,BAC009S0096W0361_noise10,S0096,0,noise_snr10,0.5099583864212036,0.4900416135787964
BAC009S0096W0361,BAC009S0096W0361_ch8k,S0096,0,channel_8k,0.6574335694313049,0.34256643056869507
BAC009S0096W0165,BAC009S0096W0165_noise10,S0096,0,noise_snr10,0.5850841403007507,0.41491585969924927
BAC009S0096W0165,BAC009S0096W0165_ch8k,S0096,0,channel_8k,0.6421869993209839,0.3578130006790161
BAC009S0096W0490,BAC009S0096W0490_noise10,S0096,0,noise_snr10,0.5892166495323181,0.4107833504676819
BAC009S0096W0490,BAC009S0096W0490_ch8k,S0096,0,channel_8k,0.6589999198913574,0.3410000801086426
BAC009S0096W0195,BAC009S0096W0195_noise10,S0096,0,noise_snr10,0.6087329387664795,0.3912670612335205
BAC009S0096W0195,BAC009S0096W0195_ch8k,S0096,0,channel_8k,0.6939289569854736,0.30607104301452637
BAC009S0096W0280,BAC009S0096W0280_noise10,S0096,0,noise_snr10,0.5431461334228516,0.45685386657714844
BAC009S0096W0280,BAC009S0096W0280_ch8k,S0096,0,channel_8k,0.5887694358825684,0.41123056411743164
BAC009S0096W0260,BAC009S0096W0260_noise10,S0096,0,noise_snr10,0.631382167339325,0.36861783266067505
BAC009S0096W0260,BAC009S0096W0260_ch8k,S0096,0,channel_8k,0.6687850952148438,0.33121490478515625
BAC009S0096W0303,BAC009S0096W0303_noise10,S0096,0,noise_snr10,0.5888652205467224,0.4111347794532776
BAC009S0096W0303,BAC009S0096W0303_ch8k,S0096,0,channel_8k,0.6649537086486816,0.33504629135131836
BAC009S0096W0352,BAC009S0096W0352_noise10,S0096,0,noise_snr10,0.4990557134151459,0.5009442865848541
BAC009S0096W0352,BAC009S0096W0352_ch8k,S0096,0,channel_8k,0.6936142444610596,0.30638575553894043
BAC009S0096W0143,BAC009S0096W0143_noise10,S0096,0,noise_snr10,0.6382679343223572,0.3617320656776428
BAC009S0096W0143,BAC009S0096W0143_ch8k,S0096,0,channel_8k,0.6473634839057922,0.35263651609420776
BAC009S0096W0427,BAC009S0096W0427_noise10,S0096,0,noise_snr10,0.7243244051933289,0.27567559480667114
BAC009S0096W0427,BAC009S0096W0427_ch8k,S0096,0,channel_8k,0.7041566967964172,0.29584330320358276
BAC009S0096W0464,BAC009S0096W0464_noise10,S0096,0,noise_snr10,0.5440782308578491,0.4559217691421509
BAC009S0096W0464,BAC009S0096W0464_ch8k,S0096,0,channel_8k,0.6550741791725159,0.34492582082748413
BAC009S0096W0183,BAC009S0096W0183_noise10,S0096,0,noise_snr10,0.6637765765190125,0.33622342348098755
BAC009S0096W0183,BAC009S0096W0183_ch8k,S0096,0,channel_8k,0.6211951375007629,0.37880486249923706
BAC009S0096W0384,BAC009S0096W0384_noise10,S0096,0,noise_snr10,0.704497218132019,0.29550278186798096
BAC009S0096W0384,BAC009S0096W0384_ch8k,S0096,0,channel_8k,0.6688119173049927,0.3311880826950073
BAC009S0096W0172,BAC009S0096W0172_noise10,S0096,0,noise_snr10,0.7345095276832581,0.26549047231674194
BAC009S0096W0172,BAC009S0096W0172_ch8k,S0096,0,channel_8k,0.7159608602523804,0.28403913974761963
BAC009S0096W0251,BAC009S0096W0251_noise10,S0096,0,noise_snr10,0.7033708691596985,0.2966291308403015
BAC009S0096W0251,BAC009S0096W0251_ch8k,S0096,0,channel_8k,0.6774413585662842,0.3225586414337158
BAC009S0096W0190,BAC009S0096W0190_noise10,S0096,0,noise_snr10,0.7380144596099854,0.26198554039001465
BAC009S0096W0190,BAC009S0096W0190_ch8k,S0096,0,channel_8k,0.7209988236427307,0.2790011763572693
BAC009S0096W0329,BAC009S0096W0329_noise10,S0096,0,noise_snr10,0.5872223377227783,0.4127776622772217
BAC009S0096W0329,BAC009S0096W0329_ch8k,S0096,0,channel_8k,0.7668794393539429,0.23312056064605713
BAC009S0096W0474,BAC009S0096W0474_noise10,S0096,0,noise_snr10,0.5218194723129272,0.47818052768707275
BAC009S0096W0474,BAC009S0096W0474_ch8k,S0096,0,channel_8k,0.593775749206543,0.40622425079345703
BAC009S0096W0264,BAC009S0096W0264_noise10,S0096,0,noise_snr10,0.46388673782348633,0.5361132621765137
BAC009S0096W0264,BAC009S0096W0264_ch8k,S0096,0,channel_8k,0.6573402881622314,0.34265971183776855
BAC009S0096W0313,BAC009S0096W0313_noise10,S0096,0,noise_snr10,0.6448625326156616,0.3551374673843384
BAC009S0096W0313,BAC009S0096W0313_ch8k,S0096,0,channel_8k,0.6359949707984924,0.36400502920150757
BAC009S0096W0216,BAC009S0096W0216_noise10,S0096,0,noise_snr10,0.6685250997543335,0.3314749002456665
BAC009S0096W0216,BAC009S0096W0216_ch8k,S0096,0,channel_8k,0.6058709621429443,0.39412903785705566
BAC009S0096W0218,BAC009S0096W0218_noise10,S0096,0,noise_snr10,0.5126532912254333,0.48734670877456665
BAC009S0096W0218,BAC009S0096W0218_ch8k,S0096,0,channel_8k,0.6837901473045349,0.3162098526954651
BAC009S0160W0279,BAC009S0160W0279_noise10,S0160,1,noise_snr10,0.771431028842926,0.22856897115707397
BAC009S0160W0279,BAC009S0160W0279_ch8k,S0160,1,channel_8k,0.4595355987548828,0.5404644012451172
BAC009S0160W0134,BAC009S0160W0134_noise10,S0160,1,noise_snr10,0.7416135668754578,0.25838643312454224
BAC009S0160W0134,BAC009S0160W0134_ch8k,S0160,1,channel_8k,0.47920259833335876,0.5207974016666412
BAC009S0160W0166,BAC009S0160W0166_noise10,S0160,1,noise_snr10,0.7355768084526062,0.2644231915473938
BAC009S0160W0166,BAC009S0160W0166_ch8k,S0160,1,channel_8k,0.36143407225608826,0.6385659277439117
BAC009S0160W0485,BAC009S0160W0485_noise10,S0160,1,noise_snr10,0.6878626346588135,0.3121373653411865
BAC009S0160W0485,BAC009S0160W0485_ch8k,S0160,1,channel_8k,0.49782148003578186,0.5021785199642181
BAC009S0160W0194,BAC009S0160W0194_noise10,S0160,1,noise_snr10,0.6966771483421326,0.30332285165786743
BAC009S0160W0194,BAC009S0160W0194_ch8k,S0160,1,channel_8k,0.2713649868965149,0.7286350131034851
BAC009S0160W0451,BAC009S0160W0451_noise10,S0160,1,noise_snr10,0.751636266708374,0.24836373329162598
BAC009S0160W0451,BAC009S0160W0451_ch8k,S0160,1,channel_8k,0.3814629316329956,0.6185370683670044
BAC009S0160W0325,BAC009S0160W0325_noise10,S0160,1,noise_snr10,0.6997997164726257,0.30020028352737427
BAC009S0160W0325,BAC009S0160W0325_ch8k,S0160,1,channel_8k,0.5402078032493591,0.45979219675064087
BAC009S0160W0413,BAC009S0160W0413_noise10,S0160,1,noise_snr10,0.6058681607246399,0.3941318392753601
BAC009S0160W0413,BAC009S0160W0413_ch8k,S0160,1,channel_8k,0.4234677851200104,0.5765322148799896
BAC009S0160W0297,BAC009S0160W0297_noise10,S0160,1,noise_snr10,0.7493057250976562,0.25069427490234375
BAC009S0160W0297,BAC009S0160W0297_ch8k,S0160,1,channel_8k,0.5197646021842957,0.48023539781570435
BAC009S0160W0197,BAC009S0160W0197_noise10,S0160,1,noise_snr10,0.6859306693077087,0.31406933069229126
BAC009S0160W0197,BAC009S0160W0197_ch8k,S0160,1,channel_8k,0.41184002161026,0.58815997838974
BAC009S0160W0354,BAC009S0160W0354_noise10,S0160,1,noise_snr10,0.7529132962226868,0.24708670377731323
BAC009S0160W0354,BAC009S0160W0354_ch8k,S0160,1,channel_8k,0.490520715713501,0.509479284286499
BAC009S0160W0494,BAC009S0160W0494_noise10,S0160,1,noise_snr10,0.7067456841468811,0.2932543158531189
BAC009S0160W0494,BAC009S0160W0494_ch8k,S0160,1,channel_8k,0.49207279086112976,0.5079272091388702
BAC009S0160W0174,BAC009S0160W0174_noise10,S0160,1,noise_snr10,0.6997811198234558,0.3002188801765442
BAC009S0160W0174,BAC009S0160W0174_ch8k,S0160,1,channel_8k,0.5274128913879395,0.47258710861206055
BAC009S0160W0343,BAC009S0160W0343_noise10,S0160,1,noise_snr10,0.6012735366821289,0.3987264633178711
BAC009S0160W0343,BAC009S0160W0343_ch8k,S0160,1,channel_8k,0.4138740301132202,0.5861259698867798
BAC009S0160W0314,BAC009S0160W0314_noise10,S0160,1,noise_snr10,0.7248201370239258,0.2751798629760742
BAC009S0160W0314,BAC009S0160W0314_ch8k,S0160,1,channel_8k,0.6191565990447998,0.3808434009552002
BAC009S0160W0122,BAC009S0160W0122_noise10,S0160,1,noise_snr10,0.7638275623321533,0.23617243766784668
BAC009S0160W0122,BAC009S0160W0122_ch8k,S0160,1,channel_8k,0.4571164548397064,0.5428835451602936
BAC009S0160W0375,BAC009S0160W0375_noise10,S0160,1,noise_snr10,0.6435734629631042,0.35642653703689575
BAC009S0160W0375,BAC009S0160W0375_ch8k,S0160,1,channel_8k,0.46482908725738525,0.5351709127426147
BAC009S0160W0249,BAC009S0160W0249_noise10,S0160,1,noise_snr10,0.6028169989585876,0.39718300104141235
BAC009S0160W0249,BAC009S0160W0249_ch8k,S0160,1,channel_8k,0.5230780839920044,0.4769219160079956
BAC009S0160W0448,BAC009S0160W0448_noise10,S0160,1,noise_snr10,0.772157609462738,0.22784239053726196
BAC009S0160W0448,BAC009S0160W0448_ch8k,S0160,1,channel_8k,0.516394317150116,0.48360568284988403
BAC009S0160W0205,BAC009S0160W0205_noise10,S0160,1,noise_snr10,0.6083967685699463,0.3916032314300537
BAC009S0160W0205,BAC009S0160W0205_ch8k,S0160,1,channel_8k,0.438056081533432,0.561943918466568
BAC009S0160W0271,BAC009S0160W0271_noise10,S0160,1,noise_snr10,0.7114433646202087,0.28855663537979126
